Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_01005_0402Metric",128.016000,-82.296000,0.000000,top
"C2","100n","C_0603_1608Metric",122.174000,-86.106000,270.000000,top
"C4","22u","C_0805_2012Metric",116.332000,-103.124000,0.000000,top
"C5","10u","CP_EIA-6032-28_Kemet-C",111.252000,-127.762000,90.000000,top
"C6","22u","CP_EIA-3528-21_Kemet-B",117.602000,-136.144000,180.000000,top
"D1","1N4148","D_SOD-123",122.556000,-79.756000,0.000000,top
"D2","1N4148","D_SOD-123",110.618000,-80.010000,180.000000,top
"D3","1N4148","D_SOD-123",109.601000,-90.043000,270.000000,top
"D4","1N4148","D_SOD-123",114.300000,-80.010000,90.000000,top
"D5","1N4148","D_SOD-123",111.888000,-103.378000,180.000000,top
"Q1","2N3904","SOT-23",117.348000,-78.486000,0.000000,top
"Q2","2N3904","SOT-23",119.446000,-86.868000,270.000000,top
"Q3","2N3904","SOT-23",113.030000,-85.598000,270.000000,top
"Q4","2N3904","SOT-23",114.300000,-89.154000,270.000000,top
"Q5","2N3904","SOT-23",120.208000,-163.322000,90.000000,top
"Q6","2N3904","SOT-23",121.158000,-99.822000,270.000000,top
"Q7","2N3904","SOT-23",120.142000,-122.682000,180.000000,top
"Q8","2N3904","SOT-23",120.142000,-109.982000,180.000000,top
"Q9","2N3904","SOT-23",120.158000,-132.588000,180.000000,top
"Q10","2N3904","SOT-23",120.142000,-145.542000,180.000000,top
"Q11","2N3904","SOT-23",120.142000,-156.972000,180.000000,top
"R1","100k","R_0402_1005Metric",127.762000,-83.820000,270.000000,top
"R2","10k","R_0402_1005Metric",126.746000,-81.788000,270.000000,top
"R3","10k","R_0402_1005Metric",126.746000,-83.820000,90.000000,top
"R4","47k","R_0402_1005Metric",119.634000,-80.264000,270.000000,top
"R5","47k","R_0402_1005Metric",112.268000,-82.296000,270.000000,top
"R6","47k","R_0402_1005Metric",109.601000,-86.233000,90.000000,top
"R7","47k","R_0402_1005Metric",113.792000,-83.058000,180.000000,top
"R8","10k","R_0402_1005Metric",121.518624,-89.301376,225.000000,top
"R9","10k","R_0402_1005Metric",116.840000,-88.646000,90.000000,top
"R10","100k","R_0402_1005Metric",122.428000,-161.290000,270.000000,top
"R11","10k","R_0402_1005Metric",112.522000,-91.440000,0.000000,top
"R12","1k","R_0402_1005Metric",121.666000,-165.862000,0.000000,top
"R13","100k","R_0402_1005Metric",123.952000,-98.806000,180.000000,top
"R14","1k","R_0402_1005Metric",121.666000,-96.520000,90.000000,top
"R15","470","R_0603_1608Metric",119.571000,-97.028000,180.000000,top
"R16","100k","R_0402_1005Metric",123.444000,-121.920000,180.000000,top
"R17","1k","R_0402_1005Metric",121.666000,-120.142000,0.000000,top
"R18","470","R_0603_1608Metric",119.126000,-120.142000,180.000000,top
"R19","100k","R_0402_1005Metric",123.190000,-109.728000,180.000000,top
"R20","1k","R_0402_1005Metric",121.666000,-107.442000,0.000000,top
"R21","470","R_0603_1608Metric",119.126000,-107.442000,180.000000,top
"R22","100k","R_0402_1005Metric",123.190000,-133.477000,180.000000,top
"R23","1k","R_0402_1005Metric",121.666000,-130.048000,0.000000,top
"R24","470","R_0603_1608Metric",119.189000,-130.048000,180.000000,top
"R25","100k","R_0402_1005Metric",123.192000,-146.304000,180.000000,top
"R26","1k","R_0402_1005Metric",121.666000,-143.002000,0.000000,top
"R27","470","R_0603_1608Metric",119.126000,-143.002000,180.000000,top
"R28","100k","R_0402_1005Metric",123.190000,-157.734000,180.000000,top
"R29","1k","R_0402_1005Metric",121.668000,-154.432000,0.000000,top
"R30","470","R_0603_1608Metric",119.126000,-154.432000,180.000000,top
"R31","470","R_0603_1608Metric",119.189000,-165.862000,180.000000,top
"U1","4024","SOIC-14_3.9x8.7mm_P1.27mm",127.762000,-89.408000,90.000000,top
"U2","LM1117-5.0","SOT-223-3_TabPin2",111.252000,-137.312000,270.000000,top
